SUPNO;SUPNAME;SUPADD1;SUPADD2;SUPADD3;SUPPADD1;SUPPADD2;SUPPADD3;SUPTEL;SUPFAX;EMAIL;SUPCONT;SUPOURACC;SUPTERMS;SUPDISC;SUPBALBFWD;SUPCRNT;SUP30;SUP60;SUP90;SUP120;SUP150;SUPPMT;SUPPMTDATE;SUPURCHMTD;SUPURCHYTD;BANK;BANKCODE;BANKACC;UPDSTKSP;ACCTYPE
121;APOLLO TYRES AFRICA;;;;;;;;;;;;0;0.0;2822.1;0.0;0.0;0.0;0.0;0.0;2822.1;;;0.0;0.0;;;;Y;
150;ATT MINING SOLUTIONS;;;;;;;;;;;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;;;;Y;
153;ZZZGOODYEAR - DIAMONDBACK;;;;;;;;;;;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;;;;Y;
133;PARTS CENTRE PMB;;;;;;;033-3459073;;;;;0;0.0;133591.35;0.0;0.0;0.0;0.0;0.0;133591.35;;;0.0;0.0;;;;Y;
118;OUTSOURCED TECHNOLOGIES;;;;;;;;;;;;0;0.0;17184.0;0.0;0.0;0.0;0.0;0.0;17184.0;;;0.0;0.0;;;;Y;
154;BLUE STAR SKIMMING;;;;;;;;;;;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;;;;Y;
144;MASTERPARTS;;;;;;;;;;;;0;0.0;16381.19;0.0;287.25;2408.25;287.44;4778.02;8620.23;;;0.0;7964.02;;;;Y;
161;MI7 NATIONAL GROUP;;;;;;;033-3875628;;;;;0;0.0;18113.0;499.0;499.0;499.0;499.0;499.0;16117.0;;;499.0;5988.0;;;;Y;
147;APEX TYRES;;;;;;;871520256;;;;;0;0.0;127617.8;0.0;9637.0;16311.6;10235.0;8956.2;82478.0;;;0.0;86692.75;;;;Y;
129;TANDEM;;;;;;;;;;;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;;;;Y;
18;MR TYRE;RUBEN NAIDOO;41 DAHLIA ROAD;NORTHDALE , PMBURG;;;;647557070;;mrtyreservice@yahoo.com;;;0;0.0;74722.4;0.0;0.0;0.0;0.0;0.0;74722.4;;;0.0;0.0;;;;Y;
1845;SAILUN TIRES;;;;;;;;;;;;0;0.0;1297548.45;23124.2;117577.15;58163.55;62264.45;94300.0;965243.3;;;23124.2;958244.4;;;;Y;
171;DIRT CHEAP IT CC;;;;;;;825589899;;;;;0;0.0;1150.0;0.0;0.0;0.0;0.0;0.0;1150.0;;;0.0;575.0;;;;Y;
169;DIXON BATTERIES;;;;;;;;;;;;0;0.0;3093.5;0.0;0.0;0.0;0.0;0.0;3093.5;;;0.0;0.0;;;;Y;
9999;ZZZ-DELETED STOCK CODES;;;;;;;;;;;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;;;;Y;
1000;PAY JUST NOW;;;;;;;;;;;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;;;;;Y;
166;PROSYSCOM-INTERNET;;;;;;;;;;;;0;0.0;3182.63;517.5;517.5;517.5;595.13;517.5;1035.0;;;517.5;3700.13;;;;Y;
172;PROSYSCOM-TELEPHONES;;;;;;;;;;;;0;0.0;9288.56;509.63;517.55;564.28;530.17;433.71;7242.85;;;509.63;9798.19;;;;Y;
175;ROYAL TYRES COMMERCIAL;;;;;;;;;;;;0;0.0;55027.5;0.0;0.0;8395.0;17250.0;0.0;29382.5;;;0.0;55027.5;;;;Y;
