DNO;DNAME;DSNAME;DADD1;DADD2;DADD3;DPCODE;DTEL;TEL2;DFAX;EMAIL;DELAD1;DELAD2;DELAD3;DELAD4;DCONTACT;DTAXNO;DAREA;DBALBFWD;DCRNT;D30;D60;D90;D120;D150;D180;DSALESM;DSALESY;DPROFITM;DPROFITY;DAMTLPD;DDATLPD;DDISCPER;DCLIMIT;DINTFLAG;PRICE;ACCTYPE;TERMS;PDISC;DISCPRN;DPOSBAL;BLOCKFLAG;DATEOPENED;VATREF;NOTES
586;PMB AUTO SALES 300 BOOM STR;PMB;303 BOOM STREET;PIETERMARITZBURG;3200;;;;;melinda@pmbautosales.co.za;;;;;BRIAN;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1160.02;2015/12/09;0.0;15000.0;N;1;;30;0.0;N;N;3;;;
77;NATAL ASSOCIATED CHEMICALS PTY LTD;NATAL;P.O.BOX 100640;SCOTTSVILLE;3209;3209;3869357;;3867703;;;;;;MIKE MASON;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;50000.0;N;1;;30;2.5;N;N;3;;4550101689;
163;RCS AUTO;RCS;P.O.BOX 6020;PAROW EAST;7501;7501;860729727;;021-9375550;;;;;BRANCH NUMBER 1682;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1965.23;0.0;784.1;1183.51;2025/12/02;0.0;25000.0;N;1;;30;0.0;N;N;1;;4380205502;
20;MG ZONDI [GENERAL] STAFF ACC - COD;GEN;236 GREYLING STREET;PMBURG;3201;;033-3946369;;;;;;;;NOEL;;1;0.01;0.0;0.0;0.0;0.0;0.0;0.01;0.0;4869.57;88118.76;0.0;2715.06;5600.01;2026/02/09;0.0;5000.0;N;1;;30;0.0;N;N;1;2019/01/16;;
23;REPUBLICAN MOTOR SPARES;REP;P O BOX 8046;CUMBERWOOD;3235;;033-3941689;;033-3944867;;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2827.5;2016/04/14;0.0;5000.0;N;1;;30;2.5;N;N;3;;;
28;HILTON TYRE & FITMENT CENTRE;HILTO;3 QUARRY ROAD;HILTON;3245;;829333249;718914765;;andrewsimpson27@outlook.com;;;;NETT ACC;LISA;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40813.93;0.0;6725.49;5630.01;2025/07/09;0.0;15000.0;N;1;;300;0.0;N;N;3;2020/05/18;NO VAT NUM;
63;SINGISI FOREST PRODUCTS [PTY]LTD;SING;P O BOX 20;WEZA;4685;;039-5530504;;039-5530501;;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;10000.0;N;1;;30;2.5;N;N;3;;;
66;BALCO COMPANY [PTY] LTD;BALCO;236 GREYLING STREET;PIETERMARITZBURG;3201;3201;031-3321110;;;accounts@balcokzn.co.za;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1740.01;2019/01/30;0.0;2000.0;N;1;;30;2.5;N;N;1;;;
205;SUPA QUICK PINETOWN;SUPAP;CMD TYRES [PTY] LTD   T/A;109 OLD MAIN ROAD;PINETOWN;3610;031-7013284;031-7013286;031-7013161;supaquickpinetown@sai.co.za;;;;;;01/09/2001 -->;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;89.03;10959.22;2023/11/29;0.0;0.0;N;1;;0;0.0;N;N;1;;4390267062;
423;V S PANELBEATERS CC;VS;4 PETER HEY ROAD;MOUNTAIN RISE;PMBURG;3201;033-3869566/09;837772017;865839374;vspanel@satweb.co.za;;;;;PRAVIN;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;10000.0;N;1;;30;0.0;N;N;4;;4730163641;
481;MARITZBURG AUCTIONEERS;MARIT;SUITE 113;POSTNET X6;CASCADES;3202;033-3422544;;;cameron@maritzburgauctioneers.co.za;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;5000.0;N;1;;30;2.5;N;N;3;;;
483;MARITZBURG COLLEGE;MARIT;BOX 398;P M B;3200;;429376;;;;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;1;;0;0.0;;;N;;;
627;COASTAL FARMERS CO-OP;COA;PO BOX 1003;UMHLANGA ROCKS;;4320;031-5088000;;031-5088199;rajesh@coastals.co.za;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;40.0;5000.0;N;1;;30;7.5;N;N;3;;4710104748;
823;WYNHAM SERVICES;WYN;P O BOX 33;UMLAAS ROAD;;3730;0325-51220;;;;;;;;;;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;5000.0;N;1;;30;2.5;N;N;2;;;
21;BALCONE MOTORS CC T/A WATSON MOTORS;WATSO;8 STONEYHOUSE ROAD;HAYFIELDS;PMB;3201;333455108;;;watsonmotors@vodamail.co.za;;;;NETT ACCOUNT;PETER;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;220.02;2019/11/30;0.0;10000.0;N;1;;30;0.0;N;N;3;2019/01/21;;
730;SAPPI FORREST;SAP;PO BOX 75;PM BURG;3201;;473666;;;;;;;;JAYSALYN;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;N;1;;30;2.5;Y;N;4;;;
93;SUPA QUICK GATEWAY;SUPAG;GATEWAY TYRES (PTY) LTD;2 ZENITH DRIVE;GATEWAY , UMHLANGA;4320;031-5665123;031-5665124;031-5665126;supaquickgateway@sai.co.za;;;;;;01/08/2013 -->;1;1225.12;0.0;1225.12;0.0;0.0;0.0;0.0;0.0;0.0;1065.32;0.0;73.55;3970.01;2025/04/02;0.0;0.0;N;1;;0;0.0;N;N;1;;4890267083;
585;NATIONAL PLANT FOOD;NATIO;P.O.BOX 89;CATO RIDGE;3680;;031-7823105;;031-7821431;;;;;;SUSAN BYRNE;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;2500.0;N;1;;30;2.5;N;N;3;;4920112622;
636;PETERS SECURITY CENTRE;PETER;P.O.BOX.212009;ORIBI;3205;;68331;;;;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1000.0;N;1;;30;0.0;N;N;6;;;
733;SAPPI SAWMILLS;SAPPI;P O BOX 2182;PIETERMARITZBURG;;3200;3 393 300;;;;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;1;;0;0.0;;;N;;;
1019;MEADOW FEEDS NATAL;MEA;P O BOX 426;PIETERMARITZBURG;3200;;3872403;;033-3873115;;;;;;ANZAR;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;200000.0;N;1;;30;0.0;N;N;3;;;
1117;DUZI TYRE SERVICES;DUZIT;P.O.BOX 8247;CUMBERWOOD;3235;3235;033-3873086;;;;;;;;MR S CHETTY;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;140000.0;N;1;;30;2.5;N;N;3;;4200152447;
1208;TYREMART PIETERMARITZBURG;SPEED;PMB KWIKFIT CC        T/A;SUITE 153 , P/BAG X9118;PIETERMARITZBURG;3200;033-3943641;033-3943642;033-3422036;prescilla@tyremartpmb.co.za;290 GREYLING STREET;PIETERMARITZBURG;3201;;BRIAN;;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5402.74;2022/08/17;0.0;250000.0;N;1;;30;2.5;N;N;3;;4800183586;
1232;GREATER HEIGHTS FARM [PTY]LTD;TREM;ROY TREMEARNE;PO BOX 34;ESTON;3730;823002840;;;rtremearne53@gmail.com;;;;;ROY;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;682.51;2021/10/29;0.0;15000.0;N;1;;30;0.0;N;N;3;;4420285761;
1133;W & E MAPSTONE;MAP;P O BOX 3;THORNVILLE;;3760;0332/510481/3;;;;PRESTO PARK;P O BAYNESFIELD;;;W MAPSTONE;OPENED 24/02/97;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;60000.0;N;1;;30;0.0;N;N;3;;;
1137;GAS AND GENERAL;GAS;POSTNET SUITE 57;PRIVATE BAG X9118;PIETERMARITZBURG;3200;033 - 3420501;;033 - 3429129;gasacc@eject.co.za;312 GREYLING STRRET;PMB;;;CORIEEN;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;10000.0;N;1;;30;0.0;N;N;2;;4100182049;
1174;CHRIS GARDNER TRANSPORT;CHRIS;POSTNET SUITE 259;PRIVATE BAG X9118;PIETERMARITZBURG;3200;832700099;0824499634 CHRI;;chris.gardner@dairyday.co.za;;;ONLY NKR VEHICLE TO THIS;ACC**********************;GAIL;REF COOPER 15/12/97;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7100.0;2017/02/21;0.0;5000.0;N;1;;30;0.0;N;N;2;;4630161737;
1175;PHIL PRECIOUS AUTO SALES;PHIL;83 CLELAND ROAD;HAYFIELDS;PIETERMARITZBURG;3201;3969461;;3963373;;;;;101 NEW ENGLAND ROAD;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19163.19;2017/09/27;0.0;15000.0;N;1;;30;2.5;N;N;3;;;
1195;THE ROSAEVEARE TRUST;ROSE;PO BOX 199;THORNVILLE;NATAL;3760;039-8359301;;;lutamren@gmail.com;;;;;CHARLIE0832734837;OPENED 20/01/98;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;20000.0;N;1;;30;0.0;N;N;3;;;
1237;STOWELL & CO;STO;295 PIETERMARITZ STREET;PMB;;3201;8450500;;948145;;;;;;RODNEY TROTTER;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;5000.0;N;1;;30;0.0;N;N;3;;4750158141;
1248;GAVTON ELECTRICAL CONTRACTORS;GAVTO;PO BOX 11969;DORPSPRUIT;3206;;3455895;;3455903;gavton@telkomsa.net;21 CLOUGH STREET;UNIT 6 MANDENI PARK;PMB;;;OPENED 8/4/1998;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;5000.0;N;1;;30;0.0;N;N;3;;4050180811;
1315;MANLINE;MAN;P.O. BOX 100015;SCOTTSVILLE;3209;;033-3865948;;NEIL 0834569190;nmoodley@bwtrans.co.za;;;;6 VON ECK PLACE;NEONI;OPENED 11/6/1998;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;15000.0;N;1;;30;2.5;N;N;3;;4340172891;
1362;WESBANK A DIVISION OF FIRSTRAND BANK LTD;FIRST;1 ENTERPRISE ROAD;FAIRLAND;2170;;012-3031000;;012-5953983;;;;;MERCH:569946;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2305.29;2024/10/21;0.0;100000.0;N;1;;30;0.0;N;N;3;;4210102051;
1420;ROSEBANK FARM;ROS;TREVOR O'NEILL;PO BOX 185;ESTON;3740;2122810;;;office@rosebankfarm.co.za;;;;;TREVOR / LYNN;;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;30000.0;N;1;;30;2.5;N;N;3;;4960186932;
12;HUGOS SPEED SHOP**CLOSED**;XX;233 GREYLING STREET;PMBURG;3201;;033-3454110;;033-3453607;hugosspeedshop@iafrica.com;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3000.0;2018/06/11;0.0;5.0;N;1;;30;0.0;N;N;2;2017/01/27;4900244064;
17;MW OSBORN;MWOSB;PO BOX 303;KOKSTAD;4700;;832888829;;;iammikeosborn@gmail.com;;;;NETT ACCOUNT;MIKE;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10643.8;2017/09/15;0.0;30000.0;N;1;;30;0.0;N;N;2;2017/07/06;4290179193;
19;PAT DUCKHAM MOTORS CC;PAT;14 PETER KERCHOFF STREET;PIETERMARITZBURG;3201;;033-3425210;;033-3428714;grant@patduckham.co.za;;;;NETT ACCOUNT;PRISSY;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3565.61;2019/05/28;0.0;10000.0;N;1;;30;0.0;N;N;3;2018/11/16;4460262282;
25;PARKLANE RETAIL PTY LTD;PARK;T/A PARKLANE SUPER SPAR;14 ORIEL ROAD;PIETERMARITZBURG;3201;333 423 487;;;charity@roscot.co.za;;;;;CHARITY;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4217.42;0.0;2217.33;3650.01;2026/01/12;0.0;30000.0;N;1;;30;0.0;N;N;1;2025/06/20;4380318909;
30;ALEXANDER HIGH SCHOOL;ALEX;PRIVATE BAG X6;SCOTTSVILLE;3209;;033-3948252;;033-3946059;finance@alexhigh.org.za;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;10000.0;N;1;;30;0.0;N;N;2;;;
33;DIPLOMAT DISTRIBUTORS SA [PTY]LTD;DIPLO;8 COROBRIK ROAD;MEADOWDALE;JOHANNESBURG;2000;872842700;;;helmien.n@diplomat-global.com;;;;REG:2010/011111/07;LEANETTI;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15840.01;2021/02/15;0.0;20000.0;N;1;;30;0.0;N;N;3;2020/10/20;4420256176;
83;ON TAP;ONTAP;P O BOX 2930;PIETERMARITZBURG;3200;;033-3940870;;033-3943834;crspmb@ontap.co.za;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;10000.0;N;1;;30;2.5;N;N;3;2004/02/03;4390157602;
141;NCT BAYNESFIELD LEASE;NCT;P O BOX 1445;PIETERMARITZBURG;3201;;033-8978500;;033-8978501;;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;5000.0;N;1;;30;2.5;N;N;3;2004/08/19;4430102733;
24;SAFARICO 4X4;SAFAR;LUND ENTERPRISES CC;340 VICTORIA ROAD;PIETERMARITZBURG;3201;033-3421424;;;admin@safarico4x4.co.za;;;;NETT ACCOUNT;DEA-ANN;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1500.0;2021/11/15;0.0;10000.0;N;1;;30;0.0;N;N;3;2019/01/24;4480271545;
158;SUMMIT AUTO TRADING SA [PTY] LTD*NEW OWN;X;REQUIRE CR APP;P.O.BOX 11019;DORPSPRUIT;3206;033-3456287;031-7025603;033-3450028;thereset@fury.co.za;;;;;DESIREE;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7750.0;2020/10/31;0.0;3.0;N;1;;30;2.5;N;N;2;2004/12/23;4950237968;
166;RAVEN PANELBEATERS COD;RAVEN;324 BOOM STREET;PIETERMARITZBURG;3200;;033-3451940;;033-3456468;ravenpanelbeaters@sai.co.za;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;10000.0;N;1;;5;0.0;N;N;3;2005/02/02;;
182;SOUTH RAND ELECTRICAL;SOUTH;P O BOX 13770;CASCADES;3202;;033-3454653;;033-3425619;southrand@sai.co.za;;;;;;;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;10000.0;N;1;;30;0.0;N;N;3;2005/03/17;4710184385;
183;NCT TREE FARMING CC;NCT;P O BOX 1445;PIETERMARITZBURG;3200;;033-3941202;;033-3456985;;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;5000.0;N;1;;30;0.0;N;N;1;2005/03/17;;
190;PARCOM T/A PARKLANE SUPER SPAR;PARK;P O BOX 11191;DORPSPRUIT;3206;;033-3423487;;033-3426413;admin@parklane.co.za;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5260.88;0.0;2449.92;3850.0;2025/09/26;0.0;30000.0;N;1;;30;0.0;N;N;2;2005/04/14;4270208707;
218;CENPROP REAL ESTATE [PTY]LTD;CENPR;P O BOX 1345;PIETERMARITZBURG;3200;;033-3949595;;033-3458054;;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;5000.0;N;1;;30;0.0;N;N;3;2005/08/16;;
224;NCT FORESTRY CO-OPERATIVE INGWE;NCT;PO BOX 1445;PMBURG;3200;;033-8978500;;033-8978501;jenny@nctforest.com;;;;;JENNY;BRET 0828717838;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;5000.0;N;1;;0;0.0;N;N;3;2005/09/15;4430102733;
38;HI-Q EAST COAST TYRES PINETOWN;HIQEA;ECO TYRE & EXHAUST CC;165 OLD MAIN ROAD;PINETOWN;3610;031-7091471;031-7091479;031-7091484;shaun.eastcoast@sai.co.za;;;;;SHAUN FABER;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4884.26;2025/01/04;0.0;50000.0;N;1;;0;0.0;N;N;1;2005/12/13;4010231005;
14;BRUCES PANEL SHOP;BRUCE;391 BOOM STREET;PIETERMARITZBURG;3201;;033-3425980;;033-3426458;admin@brucespanelshop.co.za;;;;NETT ACC;;;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;10000.0;N;1;;30;0.0;N;N;3;;4550192001;
70;BIDVEST BANK;BIDVE;P O BOX 185;JOHANNESBURG;2000;;0114073699/3630;114073621;866889881;bbfleetcreditors@bidvestbank.co.za;VEH.MAKE&MODEL;REG.;KM;MERCH:208933;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16739.13;0.0;4051.15;19250.0;2025/07/15;0.0;5000.0;N;1;;30;2.5;N;N;Y;2006/05/09;4680190875;
221;AD SPEC;ADSPE;P O BOX 314;LIBERTY MALL;3231;;846981979;;;lylescottw@gmail.com;;;;;LYLE;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4313.07;0.0;1386.16;1250.0;2025/06/04;0.0;5000.0;N;1;;30;0.0;N;N;3;2006/07/18;4860207101;
233;BIDVEST MCCARTHY [RENAULT];MCCAR;P O BOX 455;MIDLANDS MALL;PMBURG;3231;033-3417600;033-3417611;;nakitas@mcmotor.co.za;;;;;NAKITA;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8486.97;0.0;1972.37;9760.02;2025/05/02;0.0;40000.0;N;1;;30;0.0;N;N;Y;2006/07/31;4330165889;
241;BROADACRES FARM;BROAD;P O BOX 197;ESTON;3740;;031-7811722;;031-7811722;;;;;;ALLEN STIEBEL;;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;20000.0;N;1;;30;0.0;N;N;3;2006/09/08;4670198409;
249;HI-Q NOTTINGHAM ROAD;HI-Q;TUSCAN MOOD 35CC   T/AS;P.O.BOX 98;NOTTINGHAM ROAD;3280;033-2666748;;033-2666754;admin@bundunet.com;;;NETT ACCOUNT;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;40000.0;N;1;;30;0.0;N;N;1;2006/10/20;4220233847;
284;UPWARD SPIRAL 1018CC**CLOSED**;XX;SUPA STRAIGHT;26 WINSTON ROAD;PIETERMARITZBURG;3201;033-3458850;824519647;033-3458852;sharitha.supastraight@telkomsa.net;;;;;SHANNON NAIDOO;;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5335.95;2019/08/20;0.0;1.0;N;1;;30;0.0;N;N;2;2007/04/04;4230215339;
287;SCENIC ROUTE TRADING 412 (PTY) LTD;SUNSH;SUNSHINE BAKERY;25 WILLOWTON ROAD;PIETERMARITZBURG;3201;033-3971116;;033-3420660;accounts@sunshinebakery.co.za;;;;;;TAKI 0824571317;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180974.88;0.0;54070.64;5350.0;2025/10/01;0.0;200000.0;N;1;;5;0.0;N;N;3;2007/04/11;4390219113;
291;AVIS VAN RENTAL;AVIS;P O BOX 143;UMBOGINTWINI;4120;;031-4652155;;;ridhwana.bux@avisbudget.co.za;;;;;RIDHWANA;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3691.3;2025/04/09;0.0;100000.0;N;1;;30;2.5;N;N;3;2007/04/25;4390182634;
293;NOEL SOOKAL - STAFF ACCOUNT - COD;NOEL;;;;;033-3946369;;033-3456284;;;;;;;;1;5713.02;0.0;5713.02;0.0;0.0;0.0;0.0;0.0;0.0;37454.94;0.0;597.4;3765.03;2026/01/24;0.0;20000.0;N;1;;30;0.0;N;N;1;2007/05/15;0;
305;PMB GUTTERS CC T/A SUPERSPAN GUTTERS;PMBGU;P O BOX 100967;SCOTTSVILLE;3209;;033-3429412;;033-3456359;;;;;;WAYNE;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;5000.0;N;1;;30;0.0;N;N;3;2007/07/13;4810199382;
319;PMB MENTAL HEALTH SOCIETY;PMBME;P O BOX 133;PIETERMARITZBURG;3200;;033-3927230;;033-3450842;;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;5000.0;N;1;;30;0.0;N;N;3;2007/09/04;;
323;MTSINTSI LOGISTICS;MTSIN;P O BOX 2;PIETERMARITZBURG;3200;;033-3863449;;033-3864934;;;;NETT ACCOUNT;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;10000.0;N;1;;30;0.0;N;N;3;2007/09/18;4420227623;
332;CMH COMMERCIAL PMB [62];CMH;P O BOX 142;MKONDENI;3204;;031-7924500;;033-3462013;julianaf@cmh.co.za;;;;;JULIANNA;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;10000.0;N;1;;30;0.0;N;N;2;2007/11/07;4440111914;
351;MSUNDUZI MUNICIPALITY FORESTRY BOARD;MSUND;;P O BOX 329;PIETERMARITZBURG;3200;033-3872212;;;shantel@nctforest.com;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;10000.0;N;1;;30;0.0;N;N;1;2008/03/03;4800102750;
193;GARLINGTON HOMEOWNERS ASSOCIATION;GARLI;PRIVATE BAG X6009;HILTON;3245;;727162006;;;;;;;;YOLANDE;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;5000.0;N;1;;30;0.0;N;N;3;2008/03/29;4520237522;
393;SHARP METAL PRESSINGS;SHARP;P O BOX 29;UMLAAS ROAD;3780;;031-7851781;;865003730;accounts@sharpmetal.co.za;;;;;;;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6727.51;2016/02/01;0.0;10000.0;N;1;;30;0.0;N;N;3;2008/08/07;4510187679;
395;PAPINI TRADING;PAPIN;P O BOX 8800;CUMBERWOOD;3235;;033-3862307;;;creditors@papini.co.za;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20817.45;0.0;7068.45;520.02;2025/07/25;0.0;30000.0;N;1;;30;0.0;N;N;3;2008/08/07;4430172769;
34;BLUFF MEAT SUPPLY PTY LTD;BLUFF;P O BOX 800;PINETOWN;;3610;313 504 440;;;sandrac@bluffmeatsupply.co.za;;;;;SANDRA;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;65843.47;0.0;22313.53;10100.02;2025/11/25;0.0;40000.0;N;1;;30;0.0;N;N;3;2025/06/27;4870288513;
53;LUSH REMOVALS;LUSH;P O BOX 8528;CUMBERWOOD;3235;;033-3861216;033-3861217;033-3861269;info@lushremovals.com;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5410.0;2021/01/12;0.0;25000.0;N;1;;30;0.0;N;N;3;2008/11/25;4920112739;
102;J B MTUNGWA (JABULANI) - STAFF ACC - COD;JABUL;;;;;;;;;;;;;;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2116.48;2024/12/20;0.0;0.0;N;1;;0;0.0;N;N;1;2009/02/19;;
10;ACCOUNT CLOSED COD ONLY;TYRE;95 CHIEF ALBERT LUTHULI S;;PIETERMARITZBURG;3201;033-3458577;723252853;;sstt.pmb@gmail.com;;;;NETT ACCOUNT;AJEETH;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;112053.99;0.0;19890.45;12993.5;2026/01/20;0.0;0.0;N;1;;30;0.0;N;N;2;2017/08/31;4590287233;
13;BRINTON PILLAY - STAFF ACCOUNT - COD;BRINT;;;;;;;;;;;;;;;1;2720.0;0.0;1100.0;0.0;0.0;0.0;0.0;0.0;0.0;134606.06;0.0;3315.65;1620.0;2026/02/06;0.0;5000.0;N;1;;0;0.0;N;N;1;2017/02/03;;
6;HILTON COLLEGE;HILTO;SUITE H7;PRIVATE BAG X9118;PMBURG;3201;;;;creditors@hiltoncollege.com;;;;;SHERYL;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;820.0;2022/12/29;0.0;10000.0;N;1;;30;0.0;N;N;1;2016/07/18;4060107820;
11;SUNSHINE BAKERY DURBAN [PTY]LTD;SUNSH;43 SEACOWLAKE ROAD;DURBAN;4000;;033-3971116;;;accountsbd@sunshinebakery.co.za;;;;;SIQALO;;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1050.01;2025/04/01;0.0;100000.0;N;1;;30;0.0;N;N;3;2016/12/22;4310263852;
